Player Name,Club,Position,Minutes,Goals,Assists,Shots,Shots On Target,Passes%,Conversion %,Touches_per90,Passes_per90,Shots_per90,Assists_per90,Goals_per90,Carries_per90,Progressive Carries_per90,Through Balls_per90,Crosses_per90,Tackles_per90,Interceptions_per90,Ground Duels_per90,Aerial Duels_per90,Saves_per90,Clearances_per90,Fouls_per90
Ben White,Arsenal,DEF,1198,0,2,9,12,89.0,13.0,62.57929883138564,126.0601001669449,0.6761268781302171,0.15025041736227046,0.0,43.797996661101834,22.237061769616027,0.3005008347245409,3.8313856427378967,1.5025041736227045,1.7278797996661102,17.353923205342237,1.2020033388981637,0.0,2.8547579298831383,0.7512520868113522
Bukayo Saka,Arsenal,MID,1735,6,10,67,2,87.0,25.0,56.749279538904894,33.35446685878963,3.4755043227665703,0.5187319884726225,0.3112391930835735,8.662824207492795,3.579250720461095,0.05187319884726225,0.05187319884726225,1.504322766570605,0.7780979827089338,3.00864553314121,2.3342939481268012,0.0,0.3112391930835735,0.7780979827089338
David Raya,Arsenal,GKP,3420,0,0,0,0,0.0,0.0,42.078947368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263157894736842,0.763157894736842,0.026315789473684213
Declan Rice,Arsenal,MID,2833,4,7,48,18,81.0,15.0,64.04518178609247,25.065301800211788,1.5248852806212496,0.22237910342393222,0.12707377338510412,13.05683021531945,8.259795270031768,0.34945287680903636,2.0014119308153897,1.6837274973526295,0.41298976350158845,10.864807624426403,0.8259795270031769,0.0,1.5884221673138017,0.6671373102717967
Ethan Nwaneri,Arsenal,MID,889,4,0,24,0,0.0,0.0,60.84364454443195,0.0,2.4296962879640045,0.0,0.4049493813273341,0.0,0.0,0.0,0.0,1.1136107986501687,0.0,0.0,0.0,0.0,0.4049493813273341,0.9111361079865017
Gabriel Jesus,Arsenal,FWD,603,3,0,20,0,0.0,0.0,48.95522388059701,0.0,2.985074626865672,0.0,0.44776119402985076,0.0,0.0,0.0,0.0,1.492537313432836,0.0,0.0,0.0,0.0,1.044776119402985,2.08955223880597
Gabriel Magalhães,Arsenal,DEF,2365,3,1,22,25,79.0,15.0,72.723044397463,22.452431289640593,0.8372093023255813,0.03805496828752643,0.11416490486257927,12.824524312896406,8.219873150105707,0.19027484143763215,3.386892177589852,0.9513742071881607,0.19027484143763215,7.839323467230444,2.13107822410148,0.0,3.386892177589852,0.7230443974630021
Gabriel Martinelli,Arsenal,MID,2300,8,4,55,12,69.0,10.0,42.37826086956522,13.460869565217392,2.1521739130434785,0.1565217391304348,0.3130434782608696,7.121739130434783,4.304347826086957,0.4695652173913044,0.3521739130434783,0.9,0.391304347826087,9.273913043478261,2.8173913043478263,0.0,0.6260869565217392,0.6260869565217392
Jakub Kiwior,Arsenal,DEF,1117,1,0,3,1,87.0,0.0,69.37332139659803,42.945389435989256,0.24171888988361684,0.0,0.08057296329453895,8.137869292748434,4.189794091316025,0.0,2.0948970456580125,1.7726051924798567,0.7251566696508506,4.270367054610564,1.6114592658907787,0.0,4.59265890778872,0.8057296329453894
Jorginho,Arsenal,MID,702,0,0,2,0,0.0,0.0,70.51282051282051,0.0,0.25641025641025644,0.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.25641025641025644,1.9230769230769231
